Game,alpha,gamma,omega,beta,Q_Deck_1,Q_Deck_2,Q_Deck_3,I_Deck_1,I_Deck_2,I_Deck_3,I_transformed_Deck_1,I_transformed_Deck_2,I_transformed_Deck_3,V_Deck_1,V_Deck_2,V_Deck_3,Softmax_Prob_Deck_1,Softmax_Prob_Deck_2,Softmax_Prob_Deck_3,Chosen_Deck,Chosen_Prob,Weighted_I_transformed_Deck_1,Weighted_I_transformed_Deck_2,Weighted_I_transformed_Deck_3
45,0.0787602514028549,1.7921323776245115,0.7955080270767212,2.043585538864136,7.534850394228242,0.0,13.46197943405002,2.0,0.0,4.0,3.463264026830811,0.0,11.994197719540365,4.779796060998283,0.0,3.920498869810356,0.8526722902554268,4.882333909882077e-05,0.1472788863202072,3,0.1472788863202072,2.755054333229959,0.0,9.541480564239665
46,0.0779675021767616,1.856695294380188,0.8247854709625244,2.043585538864136,0.0,8.608196320683732,9.278918660594709,0.0,4.0,2.0,0.0,13.117224539830737,3.621770912113401,0.0,-2.210699899121744,6.291734633128886,2.605983149923643e-06,2.8440407896171032e-08,0.9999973654764426,3,0.9999973654764426,0.0,10.818896219805477,2.987184027465823
47,0.0783111602067947,1.8601229190826416,0.8191447854042053,2.043585538864136,4.33353760635433,0.0,4.088085144162293,2.0,0.0,4.0,3.6303859206594966,0.0,13.1797019329227,1.3597259104412585,0.0,-6.7079989673730624,0.9415147314941796,0.0584852033123125,6.509935627633318e-08,1,0.9415147314941796,2.9738116959130716,0.0,10.796084111535356
48,0.077523648738861,1.8693464994430544,0.8318253755569458,2.043585538864136,5.532412858806985,11.088260121328757,8.292609372096692,2.0,2.0,2.0,3.6536704153783783,3.6536704153783783,3.6536704153783783,2.4931970933735634,8.049044355895333,5.25339360666327,1.1685548899419646e-05,0.9966969724921404,0.0032913418592905,2,0.9966969724921404,3.0392157654334215,3.0392157654334215,3.0392157654334215
49,0.0776168331503868,1.8591727018356323,0.829716145992279,2.043585538864136,4.064097148469245,10.820685966048847,8.235932994030351,2.0,2.0,2.0,3.6279955890748186,3.6279955890748186,3.6279955890748186,1.0538906306250988,7.810479448204703,5.225726476186205,1.0027776491039691e-06,0.9949432687883804,0.0050557283344761,2,0.9949432687883804,3.0102065178441464,3.0102065178441464,3.0102065178441464
50,0.0773005932569503,1.8635655641555784,0.8345383405685425,2.043585538864136,9.47657858571374,11.27165963762634,5.201903167860849,2.0,2.0,2.0,3.639059308734345,3.639059308734345,3.639059308734345,6.439644068972071,8.234725120884672,2.1649686511191817,0.0248821955130274,0.9751138045952212,3.99979423997439e-06,2,0.9751138045952212,3.0369345167416673,3.0369345167416673,3.0369345167416673
51,0.0781797617673873,1.8629859685897827,0.8247805833816528,2.043585538864136,4.922770560980039,5.775358650088611,2.747238596975886,2.0,2.0,2.0,3.637597628365902,3.637597628365902,3.637597628365902,1.9225506669486936,2.775138756057266,-0.2529812970554594,0.1487564268942591,0.8494991487184395,0.0017444243023514,2,0.8494991487184395,3.0002198940313454,3.0002198940313454,3.0002198940313454
52,0.0780985876917839,1.8649606704711916,0.8259935975074768,2.043585538864136,7.42117331469688,11.804024062651228,0.0,4.0,2.0,0.0,13.26838929015472,3.642580032086422,0.0,-3.538431288207695,8.795276277739264,0.0,1e-10,0.999999984255962,1.5632724003454117e-08,2,0.999999984255962,10.959604602904575,3.008747784911964,0.0
53,0.0782306119799614,1.855495810508728,0.827131450176239,2.043585538864136,5.815676148331212,5.953777286338857,7.053796122229167,2.0,2.0,2.0,3.618760954898317,3.618760954898317,3.618760954898317,2.822485151865016,2.960586289872661,4.0606051257629705,0.0671946344347962,0.0891049499701488,0.8437004155106848,3,0.8437004155106848,2.9931909964661965,2.9931909964661965,2.9931909964661965
54,0.0788983330130577,1.808475375175476,0.7999160289764404,2.043585538864136,10.943965059767011,4.509801890502846,0.0,4.0,2.0,0.0,12.269042438800764,3.5027192920359407,0.0,1.1297613527780843,1.7079205837982876,0.0,0.2294261206741144,0.7477725895432167,0.0228012897078916,1,0.2294261206741144,9.814203706988929,2.8018813067045585,0.0
